"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample45","Sample46","Sample47","Sample48","Sample49","Sample50","Sample51","Sample52","Sample53","Sample54","Sample55","Sample56","Sample57","Sample58","Sample59","Sample60","Sample61","Sample62","Sample63","Sample64","Sample65","Sample66","Sample67","Sample68","Sample69","Sample70","Sample71","Sample72","Sample73","Sample74","Sample75","Sample76","Sample77","Sample78","Sample79","Sample80","Sample81","Sample82","Sample83","Sample84","Sample85","Sample86","Sample87","Sample88","Sample89","Sample90","Sample91","Sample92","Sample93","Sample94","Sample95","Sample96","Sample97","Sample98","Sample99","Sample100"
"Feature1",0,6,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature2",0,51,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,61,0,0,48,16,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature3",0,0,0,0,0,0,0,0,119,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,3
"Feature4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Feature5",0,0,0,0,0,0,0,0,0,14,0,0,0,69,0,0,0,0,0,757,0,0,0,0,0,18329,4322,11,0,0,0,0,0,0,0,0,0,2393,0,0,0,27,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,446,0,0,0,132,0,0,26455,0,0,5,0,0,0,0,5561,0,0,0,0,0,0,6528,0,0,0,0,1981,0,0,0,0,0
"Feature6",0,0,0,4,0,0,0,0,103,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,0,0,21,0,1,0,0,74,0,0,0,0,16,14,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Feature7",0,14,0,0,7,72,3767,0,445,6,0,3,31,8,174,0,3,92,0,178,0,42,6,0,5,1678,0,0,1,0,72,80,42,44,0,8,1,79,0,0,0,0,0,52,0,75,0,0,739,116,0,0,78,8,4,0,172,0,47,37,22,119,960,81,2,9,8,0,57,0,0,93,157,70,2,139,0,137,0,72,1,5,331,0,0,3,72,0,4,0,0,1,0,1,60,0,0,0,0,7
"Feature8",0,0,0,0,5,80,0,0,214,0,2,0,1,0,0,0,0,0,0,0,7,0,0,32,14,0,0,0,0,0,2,9,0,0,2,19,0,9,0,0,0,0,0,0,10,2,0,0,178,0,0,0,0,0,0,0,59,0,2,0,1,84,0,0,0,0,0,0,1,0,0,5,0,0,0,3,0,0,0,2,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature9",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,3,2,0,0,0,0,30,9,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,8,0,29,0,111,0,0,0,0,0,0,10,0,0,0,4,0,12,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
