"","fdr_corncob_imputed","fdr_corncob"
"2","s__Subdoligranulum_variabile",NA
"3","s__Bacteroides_thetaiotaomicron",NA
"4","s__Bacteroides_ovatus",NA
"5","s__Escherichia_coli",NA
"6","s__Lachnospiraceae_bacterium_5_1_63FAA","s__Lachnospiraceae_bacterium_5_1_63FAA"
"7","s__Streptococcus_vestibularis","s__Streptococcus_vestibularis"
"8","s__Streptococcus_salivarius","s__Streptococcus_salivarius"
"9","s__Streptococcus_parasanguinis","s__Streptococcus_parasanguinis"
"10","s__Alistipes_indistinctus",NA
"11","s__Alistipes_putredinis",NA
"12","s__Alistipes_onderdonkii",NA
"13","s__Bacteroides_cellulosilyticus",NA
"14",NA,NA
"15",NA,NA
"16",NA,NA
"17",NA,NA
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
