"","S118","S121","S126","S127","S137","S141","S143","S146","S153","S155","S158","S187","S193","S194","S195","S198","S205","S224","S225","S231","S235","S244","S248","S258","S263","S264","S268","S269","S286","S288","S297","S334","S344","S353","S365","S370","S378","S380","S381","S389","S398","S421","S422","S424","S434","S436","S439","S446","S451","S456","S458","S462","S463","S468","S470","S475","S476","S478","S479","S483","S484","S495","S497","S517","S524","S526","S529","S53","S530","S536","S543","S550","S551","S552","S561","S563","S577","S58","S584","S587","S589","S59","S591","S598","S602","S604","S614","S617","S618","S628","S643","S655","S77","S80","S88","S92"
"s__Methanosphaera_stadtmanae",0,0,105787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281009,0,0,0,0,0,0,0,0,0,0,150018,0,0,0,0,0,0,0,83597,0,0,0,0,0,0,0,0,0,0,0,0,0,20541,0,98657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51227,0,0,0,0,0,0,0,0
"s__Methanobrevibacter_smithii",0,0,1134618,192570,759054,35043,518459,0,0,120794,70081,357811,1919204,0,0,738179,0,652544,0,3103898,0,0,0,0,4110139,588364,0,0,68704,0,26177,0,0,0,1997116,0,749410,358783,1000829,0,0,1862,347907,0,0,4213309,0,195598,0,0,3647746,689775,252280,200675,52757,0,369,0,346242,0,0,0,1334547,134894,1779103,555948,0,735172,251973,570634,48228,452,0,562299,29231,0,435098,698022,0,0,0,1254148,26301,423178,0,0,0,162559,0,408463,1131480,3292,760390,458930,1830503,0
"s__Megamonas_hypermegale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1631156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Megamonas_funiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Megamonas_rupellensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Mitsuokella_multacida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99747,0,0,0,0,0,0,0,0,0,0,0,2773484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Phascolarctobacterium_succinatutens",0,0,0,0,111672,0,0,84188,0,0,0,0,0,0,0,0,0,0,0,29712,0,0,0,0,33784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250353,2231,0,0,211500,0,0,0,0,0,1698533,0,0,0,0,0,0,0,533115,717625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Acidaminococcus_fermentans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Acidaminococcus_sp_D21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Acidaminococcus_intestini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
