"","SID31004","SID31009","SID31021","SID31071","SID31112","SID31129","SID31159","SID31160","SID31188","SID31219","SID31223","SID31236","SID31237","SID31267","SID31276","SID31285","SID31300","SID31328","SID31333","SID31343","SID31360","SID31367","SID31379","SID31416","SID31428","SID31446","SID31450","SID31452","SID31489","SID31493","SID31512","SID31519","SID31537","SID31549","SID31557","SID31637","SID31685","SID31700","SID31711","SID31714","SID31723","SID31749","SID31750","SID31766","SID31865","SID31866","SID31868","SID31870","SID31871","SID31872","SID31873","SID31874","SID31875","SID31876","SID31877","SID31878","SID31879","SID31880","SID31881","SID31883","SID31884","SID530050","SID530052","SID530055","SID530074","SID530075","SID530119","SID530154","SID530163","SID530167","SID530177","SID530215","SID530227","SID530251","SID530258","SID530295","SID530315","SID530331","SID530364","SID530368","SID530373","SID530394","SID530444","SID530451","SID530890","SID531128","SID531155","SID531248","SID531274","SID531277","SID531281","SID531333","SID531352","SID531361","SID531382","SID531414","SID531416","SID531424","SID531469","SID531766","SID531775","SID532749","SID532779","SID532796","SID532802","SID532826","SID532915"
"s__Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0,5061,0,0,0,0,0,0,0,0,88038,0,0,0,0,0,0,0,0,0,483616,0,0,0,0,0,0,0,0,292206,0,0,0,0,0,0,0,0,0,1990,0,0,0,39878,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,0,314893,0,0,0,0,0,0,0,0,0,0,0,34221,0,0,0,0,0,0,0,0,113829,0,0,0,0,0,0,0,0,0,0,0,12564,0,0
"s__Methanobrevibacter_smithii",0,1127022,0,0,0,0,7432,737285,0,213707,13283345,0,0,0,2737936,10430,771096,0,269406,0,0,49016,0,0,0,1647,0,0,3236414,37773,0,152844,0,1566385,0,2632,19304488,1365476,0,0,0,4013913,0,2389,8748,8173500,412530,25526,0,2952,84695,386559,0,0,28335,0,871598,376260,1423,33568,2937891,0,0,2258127,0,54113,459,0,0,0,0,1480788,0,0,0,9057941,1557,201469,0,1320,3880273,0,0,1497108,41068,1424685,12507,136858,46225,115712,0,2985,5216622,16933,1102491,0,189,0,604,590,0,1089,0,81,397416,0,5540216
"s__Pyramidobacter_piscolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Megamonas_hypermegale",0,0,0,0,0,38060,0,0,0,0,0,203997,756,0,617,0,0,33669,0,0,65238,2547,0,0,0,0,0,0,0,5524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3459,234718,0,0,0,0,0,0,0,0,0,0,0,12420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189712,0,0,0,0,0,0,0,0,0,0,827196,0,0,0,1540070,0,0,0,0,0,0,0,0,0
"s__Megamonas_funiformis",0,0,0,0,0,1672,0,0,0,0,0,90621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12024,0,0,0,0,0,0,0,0,0,0,0,5427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42498,0,0,0,0,0,0,0,0,0,0,39734,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Megamonas_rupellensis",0,0,0,0,0,1223,0,0,0,0,0,3812,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,34942,0,0,0,0,0,0,0,0,0,0,0,8998,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,15227,0,0,0,0,0,0,0,0,0,0,111419,0,0,0,433244,0,0,0,0,0,0,0,0,0
"s__Selenomonas_sputigena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,12869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Selenomonas_bovis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Mitsuokella_multacida",0,0,0,0,0,0,0,0,5004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Selenomonas_noxia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
