,fdr_corncob_imputed,fdr_corncob
2,s__Veillonella_dispar,NA
3,s__Lactobacillus_fermentum,NA
4,s__Parabacteroides_distasonis,NA
5,s__Bacteroides_fragilis,NA
6,s__Bacteroides_ovatus,s__Bacteroides_ovatus
7,s__Bacteroides_xylanisolvens,NA
8,s__Bacteroides_dorei,s__Bacteroides_dorei
9,s__Prevotella_copri,s__Prevotella_copri
10,s__Butyricicoccus_pullicaecorum,s__Butyricicoccus_pullicaecorum
11,s__Ruminococcaceae_bacterium_D16,s__Ruminococcaceae_bacterium_D16
12,s__Anaerostipes_hadrus,s__Anaerostipes_hadrus
13,s__Ruminococcus_sp_5_1_39BFAA,NA
14,s__Ruminococcus_gnavus,NA
15,s__Clostridium_bartlettii,NA
16,s__Solobacterium_moorei,s__Solobacterium_moorei
17,s__Gemella_morbillorum,s__Gemella_morbillorum
18,NA,NA
19,NA,NA
20,NA,NA
21,NA,NA
22,NA,NA
23,NA,NA
24,NA,NA
25,NA,NA
