"","fdr_corncob_imputed","fdr_corncob"
"2","s__Veillonella_parvula",NA
"3","s__Bifidobacterium_breve",NA
"4","s__Bifidobacterium_longum",NA
"5","s__Bacteroides_clarus",NA
"6","s__Bacteroides_faecis","s__Bacteroides_faecis"
"7","s__Haemophilus_parainfluenzae",NA
"8","s__Clostridium_hathewayi","s__Clostridium_hathewayi"
"9","s__Clostridium_bolteae","s__Clostridium_bolteae"
"10","s__Lachnospiraceae_bacterium_3_1_57FAA_CT1","s__Lachnospiraceae_bacterium_3_1_57FAA_CT1"
"11","s__Roseburia_intestinalis","s__Roseburia_intestinalis"
"12","s__Erysipelotrichaceae_bacterium_6_1_45",NA
"13","s__Streptococcus_salivarius",NA
"14","s__Streptococcus_parasanguinis",NA
"15","s__Eggerthella_lenta","s__Eggerthella_lenta"
"16",NA,"s__Escherichia_coli"
"17",NA,NA
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,"s__Erysipelotrichaceae_bacterium_2_2_44A"
"22",NA,"s__Erysipelotrichaceae_bacterium_21_3"
"23",NA,"s__Bacteroides_vulgatus"
